latitude,longitude,brightness,daynight,bright_t31,acq_time,frp,confidence
-24.424,-58.593,308.7,N,297.1,210,11.2,33
-24.428,-58.633,313.1,N,297.3,210,19.8,70
-24.429,-58.653,318.7,N,297.4,210,35.5,97
-24.433,-58.578,307.7,N,296.9,210,10.2,25
-24.435,-58.598,313.3,N,297.5,210,21.2,85
-24.427,-58.64,320.3,N,297.5,210,38.7,100
-24.429,-58.66,310,N,297.1,210,15.9,75
-24.383,-58.584,314.3,N,297.5,210,22.8,81
-24.385,-58.604,319.2,N,297.8,210,35.3,98
-24.368,-58.565,308.6,N,297.4,210,12.6,57
-24.37,-58.585,311.6,N,297.2,210,17.4,64
-24.372,-58.605,313.7,N,297,210,21.3,65
-24.356,-58.567,318.5,N,297.6,210,34.2,97
-24.358,-58.587,312.3,N,296.9,210,19.1,64
-24.345,-58.588,307,N,296.8,210,10.1,56
-24.355,-58.573,319.3,N,297.5,210,36.5,98
-22.999,-49.008,304.9,N,291.1,210,9.2,62
-22.989,-49.01,308.4,N,291.1,210,12.5,74
-23.792,-55.296,308.6,N,293,210,10.3,75
-22.732,-48.392,338.2,N,292.3,210,66.7,100
-22.734,-48.406,304,N,291.9,210,9.5,58
-24.128,-58.754,331.2,N,297.7,210,77.8,100
-24.068,-58.659,311.5,N,295.9,210,22.9,48
-24.07,-58.679,305.5,N,286.2,210,10.8,43
-24.067,-58.666,314.6,N,294.3,210,29.4,88
-24.139,-59.647,307.2,N,296.5,210,14.9,64
-23.986,-59.277,340,N,298.7,210,129.3,100
-23.988,-59.299,321.1,N,297.5,210,49,100
-23.973,-59.278,310.9,N,297,210,21.6,78
-23.957,-59.258,309.2,N,296.6,210,19.3,73
-23.959,-59.28,325.5,N,296.9,210,67,100
-23.973,-59.262,307.9,N,296.7,210,16.1,69
-23.976,-59.285,317,N,297.1,210,38.5,94
-23.96,-59.264,321.4,N,297.1,210,51.7,100
-23.963,-59.286,319.2,N,296.7,210,45,98
-23.62,-57.7,309.4,N,296.7,210,14.4,75
-23.611,-57.736,339,N,297.9,210,85.2,100
-23.613,-57.753,317.7,N,297.1,210,28.4,95
-23.624,-57.706,309.3,N,296.7,210,13.3,48
-22.504,-49.555,315.8,N,293.1,210,18,92
-22.636,-50.392,317.7,N,294.1,210,17.4,96
-23.616,-57.741,328.6,N,297.7,210,52.4,100
-23.602,-57.726,311.7,N,296.5,210,17.1,81
-23.604,-57.743,325,N,297.1,210,44.2,100
-23.359,-56.269,311.6,N,295.4,210,15.1,82
-23.354,-56.276,314.2,N,296,210,18.5,88
-22.145,-48.392,305.3,N,293.9,210,9,64
-22.148,-48.406,308.6,N,294.1,210,12.8,75
-22.135,-48.394,316.8,N,294.3,210,22.2,94
-22.137,-48.408,314.7,N,294.5,210,19.3,90
-22.141,-48.399,317.6,N,294.6,210,23.4,95
-22.131,-48.401,321.6,N,294.5,210,30.1,100
-22.245,-49.533,305.1,N,294.6,210,6.5,63
-23.485,-59.304,315.7,N,297.6,210,35.7,90
-23.373,-58.345,307.7,N,297.3,210,11.7,67
-23.37,-58.555,306.7,N,295.8,210,10.7,61
-22.284,-50.688,339.5,N,296.6,210,46.1,100
-22.286,-50.699,348.4,N,298.3,210,64.6,100
-22.287,-50.709,308.5,N,296.2,210,7.3,74
-22.275,-50.69,314,N,294.7,210,11.8,88
-22.276,-50.7,371.6,N,299.5,210,134.6,100
-22.278,-50.711,394.2,N,303.5,210,244.9,100
-22.279,-50.721,310,N,296.3,210,8,78
-23.245,-58.859,309.4,N,298,210,14.8,70
-21.306,-45.947,308.5,N,290.3,210,26.1,75
-23.061,-57.986,331.4,N,299.2,210,62.3,100
-23.063,-58.004,309.7,N,298.2,210,13,73
-22.746,-56.039,310.3,N,296.4,210,11.5,79
-22.747,-56.051,307,N,296.4,210,8,67
-22.116,-51.459,320.4,N,297.2,210,16.1,100
-22.117,-51.469,348.1,N,297.8,210,58.6,100
-22.931,-57.837,311,N,296.6,210,17.9,78
-22.932,-57.854,309.9,N,297.1,210,16,74
-22.934,-57.871,312.3,N,297.1,210,19.9,81
-22.462,-56.401,309.1,N,296.3,210,10.4,75
-21.574,-50.023,311.7,N,296.6,210,11.7,83
-22.644,-61.544,319.7,N,298.7,210,66.5,99
-22.647,-61.575,310.4,N,298.2,210,26.4,73
-22.647,-61.549,322.8,N,298.9,210,83.1,100
-19.888,-43.163,300.7,N,289.4,210,27.3,33
-19.97,-44.256,303.4,N,289.9,210,22.9,50
-19.972,-44.261,302.1,N,289.9,210,21.1,47
-20.975,-50.298,311.6,N,295.1,210,10,83
-20.939,-50.276,311.8,N,296.3,210,10.2,63
-20.941,-50.288,327.2,N,297.9,210,28.2,100
-19.947,-44.687,300.3,N,289.4,210,15.2,23
-20.93,-50.278,311.5,N,295.4,210,10.3,51
-20.724,-49.2,302.3,N,291.8,210,6.5,48
-19.452,-42.754,302.1,N,289.1,210,34.8,47
-22.345,-63.154,307.3,N,294.5,210,34.1,51
-22.348,-63.194,306.5,N,293.8,210,34.8,31
-21.831,-58.084,332.4,N,298.1,210,63.7,100
-21.833,-58.101,310.1,N,297.2,210,13.4,75
-19.449,-42.762,301.4,N,289,210,31.6,41
-22.359,-63.16,307.8,N,294.6,210,36.6,45
-21.835,-58.09,327.8,N,298,210,51.2,100
-19.844,-45.34,300.5,N,289.4,210,14.2,19
-19.446,-43.627,308.9,N,293.8,210,46.2,76
-20.195,-47.601,331.6,N,296.9,210,65,100
-20.198,-47.618,347.4,N,297.2,210,123.8,100
-19.667,-44.825,305.4,N,292.3,210,23.5,64
-19.672,-44.851,306.3,N,293.3,210,26.2,67
-20.183,-47.603,308.2,N,294.9,210,13,74
-20.186,-47.62,305.6,N,294.9,210,9.5,43
-19.408,-43.602,317.3,N,292.8,210,85.1,95
-19.399,-43.638,304.5,N,293.4,210,25.4,41
-20.151,-47.626,312.2,N,295.4,210,19.8,84
-20.154,-47.643,307.6,N,294.7,210,12.8,72
-20.522,-49.779,307.7,N,294.4,210,10.3,10
-20.524,-49.791,309.1,N,296.2,210,11.2,34
-19.666,-44.832,308.5,N,292.5,210,30.5,75
-20.523,-49.785,315.5,N,296.4,210,16.7,85
-19.416,-43.61,307.1,N,292.6,210,38.1,66
-20.156,-47.632,317.8,N,295.4,210,30.9,96
-19.4,-43.612,312,N,292.6,210,58.3,84
-19.682,-45.232,304.3,N,291.8,210,22.9,60
-21.3,-58.613,324.6,N,297.9,210,48.2,100
-19.328,-46.882,306.2,N,288.9,210,22.7,67
-19.305,-46.826,303.3,N,288.7,210,18.3,54
-19.241,-46.765,323.5,N,289.5,210,66,100
-19.244,-46.785,301.8,N,288.6,210,15.6,45
-18.781,-44.696,302.5,N,290.4,210,22.3,25
-18.786,-44.725,309,N,291.8,210,40.8,76
-18.782,-44.701,306.5,N,290.6,210,35.6,68
-18.788,-44.73,304.8,N,291.8,210,28.8,62
-18.409,-43.759,302.9,N,290.1,210,32.8,37
-18.401,-43.766,305.7,N,290.4,210,46.8,65
-19.259,-48.525,363,N,294.5,210,185.9,100
-19.261,-48.539,326,N,291,210,47.9,100
-20.524,-57.685,313.7,N,299.1,210,17.2,85
-20.511,-57.671,314.2,N,298.1,210,17.4,54
-20.513,-57.686,328.4,N,299.2,210,43.6,100
-20.522,-57.676,313.6,N,298.8,210,16.4,43
-20.511,-57.678,322.2,N,298.9,210,30.8,100
-20.512,-57.692,318.2,N,298.5,210,22.3,69
-20.5,-57.679,323,N,298.7,210,32.6,100
-20.45,-57.641,311.1,N,295.9,210,14.3,78
-20.452,-57.655,309.4,N,296.7,210,11.7,72
-19.932,-54.464,307,N,293.5,210,6.6,70
-20.02,-55.458,323.9,N,299.5,210,23.4,100
-20.031,-55.546,308.2,N,298.2,210,6.6,49
-20.528,-59.763,306.5,N,295.5,210,13.6,57
-20.53,-59.784,316.9,N,295.5,210,38.3,93
-20.01,-55.46,323.7,N,300.2,210,22,100
-20.011,-55.471,316,N,300.7,210,11.9,44
-20.013,-55.481,311.6,N,299.4,210,7.8,42
-20.018,-55.525,313.2,N,300,210,9.8,71
-19.999,-55.451,307.6,N,297.5,210,5.6,7
-20,-55.461,317.5,N,299.4,210,14.6,95
-20.002,-55.472,325.6,N,300.6,210,22.8,100
-20.003,-55.483,314.3,N,299.1,210,9.7,77
-20.248,-57.474,307.7,N,297.2,210,9.5,66
-19.994,-55.484,314.8,N,300,210,10.1,54
-19.984,-55.485,335.1,N,302.5,210,36.9,100
-19.985,-55.496,335.3,N,302.4,210,36.8,100
-19.976,-55.498,314.2,N,300.6,210,8.9,46
-18.753,-47.867,331.9,N,292.1,210,71.9,100
-18.756,-47.884,303.2,N,289.2,210,10.1,17
-18.741,-47.87,307.9,N,292.5,210,16.6,72
-17.928,-43.868,311,N,291.3,210,60.6,82
-17.935,-43.901,307.6,N,292.7,210,42.1,72
-20.015,-57.318,309,N,298.5,210,8.4,63
-17.921,-43.875,315.8,N,291.7,210,84.7,92
-17.927,-43.907,306.6,N,292.6,210,36.6,42
-19.947,-57.333,313.5,N,299.1,210,13.9,63
-19.949,-57.347,312,N,299.1,210,11.8,52
-19.936,-57.334,314.4,N,298.5,210,14.8,75
-19.775,-56.748,321.4,N,296.2,210,27.2,100
-15.848,136.047,326.9,D,305,135,24.4,62
-15.85,136.062,323,D,302.3,135,14.9,33
-17.176,122.916,327,D,310.3,135,27.7,37
-17.17,122.806,343.3,D,309.7,135,151.6,87
-17.185,122.803,350.1,D,310.8,135,217,93
-17.171,122.801,344.2,D,309.1,135,158.6,88
-17.176,122.827,329.5,D,311,135,46.7,34
-17.186,122.798,339,D,309.6,135,117,81
-26.6,125.747,340.4,D,314.2,135,32.7,85
-26.602,125.753,334.7,D,315.9,135,22,78
27.249,140.883,313.4,D,299.4,120,7.1,45
27.24,140.881,311.4,D,294.5,120,5.4,33
45.149,9.947,305.6,N,283.2,145,14,65
32.95,3.231,311.6,N,291.4,145,12.1,83
32.139,6.47,304.7,N,291.6,145,14,61
31.668,6.06,309.1,N,295.2,150,15.6,76
31.693,5.806,322.6,N,293.3,150,34.1,100
31.691,5.821,327.2,N,293.4,150,42.6,100
31.594,5.958,317.3,N,292.3,150,27.9,95
31.591,5.973,302.5,N,292,150,10.5,50
31.499,5.851,306.8,N,292.7,150,13.8,69
31.333,6.045,303.5,N,292.9,150,10.7,56
28.745,9.794,301.4,N,289.6,150,26,40
-19.767,-56.742,309.1,N,295.3,215,11.8,75
-19.768,-56.755,308.9,N,295.1,215,11.7,74
-18.403,-48.044,304.5,N,293.1,215,12.1,61
-18.406,-48.06,308,N,293.5,215,17.4,73
-19.568,-55.812,309.4,N,295.8,215,9.1,75
-17.701,-44.444,307.3,N,293.6,215,34.8,62
-19.558,-55.813,312.1,N,294.9,215,11.6,76
-19.555,-55.809,325.2,N,295.3,215,28.6,100
-17.747,-44.499,307,N,296.2,215,27.6,55
-19.654,-57.077,306.1,N,296.1,215,8.3,53
-18.246,-48.205,309.4,N,295.1,215,17.7,77
-19.575,-57.366,318.6,N,298,215,23.9,97
-19.563,-57.354,325.4,N,298.5,215,35.1,100
-19.565,-57.367,314.6,N,296.5,215,18,89
-19.57,-57.359,322.9,N,298.4,215,30.5,100
-19.571,-57.373,312.7,N,296.7,215,15.5,84
-19.557,-57.347,314.9,N,297.9,215,18,89
-19.559,-57.36,327,N,297.3,215,38.5,100
-19.545,-57.335,307.8,N,297.6,215,10,69
-19.547,-57.348,323.1,N,297.1,215,32.4,100
-19.548,-57.362,306.9,N,295.6,215,9.3,63
-19.534,-57.336,310.4,N,296.4,215,12.3,42
-19.455,-56.946,310.8,N,297.5,215,12.5,79
-19.431,-57.328,310.1,N,297.8,215,12.6,76
-18.505,-50.744,311,N,292.6,215,13.1,82
-18.507,-50.755,324.1,N,292.2,215,28,100
-19.141,-57.197,309.7,N,298.1,215,11.7,74
-17.933,-49.064,307.4,N,293.1,215,13.4,42
-17.935,-49.079,321.1,N,293.9,215,34.2,100
-17.924,-49.081,318.8,N,294.4,215,28.4,83
-17.913,-49.083,315.5,N,293.4,215,22.7,56
-17.923,-49.087,321.7,N,294.6,215,32.9,80
-17.91,-49.075,304,N,292.3,215,9.8,34
-17.912,-49.089,304.9,N,292.2,215,10.5,46
-19.072,-57.374,316.8,N,299.1,215,21,93
-19.073,-57.387,308.8,N,297.6,215,11.1,66
-19.058,-57.349,328.4,N,300,215,39.7,100
-19.049,-57.364,323.5,N,298.5,215,31.8,100
-17.655,-49.192,305,N,292.5,215,10.3,63
-17.031,-46.076,308.4,N,293.6,215,32.5,74
-18.679,-57.411,309.2,N,297.6,215,11.8,74
-16.329,-43.597,301.8,N,291.6,215,25,34
-16.312,-43.6,307.6,N,292.2,215,53.8,72
-16.309,-43.607,304.6,N,292.2,215,37.2,34
-18.3,-56.02,310.7,N,298,215,9.3,63
-18.289,-56.011,314.8,N,299.3,215,13,89
-18.29,-56.022,332,N,299.7,215,35.7,100
-18.265,-56.059,313.3,N,296,215,12.6,85
-18.254,-56.049,322.9,N,296.5,215,23.8,100
-18.256,-56.06,313.5,N,296,215,13.1,86
-18.246,-56.219,307.8,N,296.2,215,8.4,69
-18.234,-56.198,360.3,N,301.9,215,108.2,100
-18.235,-56.209,337.6,N,300.5,215,47.2,100
-18.237,-56.22,349,N,299.4,215,74.2,100
-18.238,-56.232,328.4,N,296.2,215,31.7,100
-18.231,-56.193,336.8,N,298.5,215,47.1,100
-18.232,-56.204,348.8,N,301.7,215,74.1,100
-18.234,-56.215,323,N,298.7,215,24.1,100
-18.235,-56.227,340.7,N,298.1,215,55.1,100
-18.353,-57.386,323.1,N,302.2,215,28.6,100
-18.355,-57.399,338.3,N,307.3,215,59.8,100
-18.356,-57.412,348.3,N,306.1,215,88.4,100
-18.358,-57.425,331.8,N,302.1,215,44.7,100
-18.342,-57.387,314.7,N,300.7,215,15.1,40
-18.344,-57.4,326.1,N,304.7,215,31,100
-18.349,-57.44,318.4,N,298.1,215,20.8,91
-18.189,-56.256,330,N,299.9,215,34.4,100
-18.191,-56.267,327.9,N,299.6,215,31.2,100
-18.192,-56.278,309.1,N,297.3,215,8.6,72
-18.334,-57.402,316.7,N,302.6,215,16.7,43
-18.335,-57.415,318.4,N,303.2,215,17.6,46
-18.337,-57.428,318.6,N,301.3,215,18.9,37
-18.18,-56.257,310.9,N,297.1,215,9.9,72
-18.181,-56.269,310.7,N,297.7,215,9.5,73
-18.326,-57.43,321.8,N,302.6,215,22.7,53
-18.328,-57.443,331.5,N,300.2,215,43,100
-18.316,-57.431,317.7,N,301.8,215,16.6,23
-18.317,-57.444,334.1,N,301.4,215,48.7,100
-18.126,-56.317,313.3,N,298.2,215,12.4,85
-18.247,-57.354,327.4,N,300.4,215,35.7,100
-18.248,-57.367,327.3,N,300.1,215,35.1,100
-18.251,-57.473,311,N,300.1,215,9.9,78
-18.228,-57.37,312,N,299.4,215,11.9,36
-18.217,-57.371,356.8,N,305.9,215,121.1,100
-18.207,-57.373,318.2,N,299.5,215,21,96
-18.221,-57.49,311.5,N,301,215,10.7,54
-18.142,-57.507,320.1,N,299.3,215,26.2,100
-18.132,-57.508,321.9,N,299.8,215,28.2,100
-18.071,-57.496,311.2,N,300.6,215,8.3,47
-17.275,-52.265,310.8,N,294.2,215,9.2,81
-17.889,-57.169,311.6,N,298.3,215,13.8,80
-17.879,-57.17,324.5,N,298,215,31.9,100
-17.881,-57.182,306.9,N,296.2,215,9.1,63
-17.867,-57.326,309.9,N,295.7,215,13.7,75
-17.66,-56.111,315.2,N,298.4,215,13,76
-17.652,-56.123,316.2,N,295.9,215,14,91
-17.642,-56.124,311.7,N,295.7,215,9.2,49
-17.597,-55.999,329.6,N,297.9,215,31.9,100
-17.779,-57.435,309.6,N,291.6,215,13.7,74
-18.416,-63.361,306.5,N,290.8,215,38.9,67
-17.586,-55.99,313.2,N,296.6,215,11.4,86
-17.587,-56.001,318.8,N,296.5,215,16.9,97
-17.589,-56.011,336.5,N,298.2,215,42.8,100
-17.59,-56.022,314.6,N,296.9,215,12.8,89
-17.612,-56.195,309.5,N,297.1,215,7.9,67
-17.614,-56.206,313.8,N,297.1,215,11.7,87
-15.7,-44.49,328.4,N,296.5,215,157.4,100
-15.707,-44.523,309.3,N,295.9,215,41,60
-17.578,-56.002,322.8,N,297.9,215,21.4,100
-17.579,-56.013,375,N,301.7,215,158.6,100
-17.58,-56.023,335.9,N,297.9,215,41.7,100
-17.603,-56.197,313.4,N,298.9,215,10.3,36
-17.604,-56.207,313,N,298.8,215,9.9,33
-17.569,-56.014,313,N,297,215,11.1,85
-17.602,-56.36,321.7,N,300.5,215,20.8,100
-17.603,-56.371,323.5,N,301.4,215,22.6,100
-17.604,-56.382,313.6,N,300.3,215,10.5,35
-17.606,-56.394,310.4,N,299.4,215,8,25
-18.41,-63.368,308.8,N,290.9,215,49.6,75
-15.709,-44.495,328.3,N,296.4,215,159.5,100
-17.557,-56.099,311.1,N,297.4,215,9.7,81
-17.559,-56.11,314.1,N,296.6,215,12.7,88
-17.592,-56.362,354.2,N,304.6,215,87.5,100
-17.593,-56.373,328.8,N,301.7,215,29.8,100
-15.693,-44.498,307.7,N,295.7,215,37.1,72
-17.582,-56.363,346.3,N,302.9,215,65.7,100
-17.583,-56.374,327,N,300.7,215,27,100
-17.572,-56.364,310.8,N,298.8,215,8.4,73
-17.574,-56.375,317.5,N,298.3,215,15,95
-17.543,-56.29,310.5,N,298.7,215,9,79
-17.444,-56.012,308.1,N,296.5,215,6.2,15
-17.478,-56.271,308.5,N,298,215,7.1,72
-17.435,-56.013,331.6,N,298.7,215,33.2,100
-17.436,-56.024,311.6,N,297,215,8.3,11
-17.591,-57.228,314.1,N,292.7,215,17.4,87
-17.593,-57.24,306.9,N,292.1,215,9.5,62
-17.594,-57.252,308.6,N,292.2,215,11.8,71
-17.425,-56.014,331,N,297.9,215,32.6,100
-17.581,-57.229,332.2,N,294,215,44.9,100
-17.582,-57.241,348.1,N,295.8,215,84.9,100
-17.584,-57.254,333.2,N,295.1,215,47.5,100
-17.416,-56.016,311.5,N,297.5,215,9,75
-17.417,-56.027,312.6,N,297.2,215,9.7,76
-17.571,-57.23,326.5,N,293.8,215,33.7,100
-17.56,-57.232,304.4,N,292.2,215,7.4,50
-17.643,-58.096,314.6,N,300,215,16.6,88
-17.379,-56.06,310.1,N,298.5,215,7.1,57
-17.64,-58.089,318.6,N,300.4,215,23,97
-17.627,-58.076,313.8,N,299.5,215,15.5,72
-17.629,-58.09,325.1,N,300.1,215,34.3,100
-17.358,-56.052,311.8,N,299.2,215,7.4,19
-17.494,-57.097,318.4,N,291.9,215,18.9,75
-17.618,-58.092,309.7,N,299.3,215,10.3,57
-17.335,-56.023,325.7,N,301.2,215,23.8,100
-17.336,-56.034,326.6,N,301.4,215,24.5,100
-17.479,-57.149,323,N,296.4,215,27.4,100
-17.325,-56.025,355.9,N,302.1,215,86.2,100
-17.326,-56.035,328.7,N,300,215,27.2,100
-17.464,-57.114,323.5,N,295.6,215,27.1,96
-17.466,-57.126,331.7,N,297,215,41.2,100
-17.469,-57.15,319.3,N,298,215,21.5,86
-17.471,-57.163,309.2,N,296.7,215,10,37
-17.221,-55.379,338.5,N,300.1,215,40.7,100
-17.309,-56.049,310.1,N,299.5,215,6.4,71
-17.31,-56.059,311.6,N,299.4,215,7.3,43
-17.21,-55.37,339.1,N,298,215,42.4,100
-17.211,-55.38,345,N,298.4,215,53.8,100
-17.213,-55.39,309.6,N,297.3,215,6,13
